"Extracted from the UNHCR Population Statistics Reference Database","United Nations High Commissioner for Refugees"
"Date extracted: 2016-02-05 19:16:42 +01:00"

Year,"Country / territory of asylum/residence",Origin,"Population type",Value
2002,Germany,Andorra,"Refugees (incl. refugee-like situations)",9
2002,Germany,"United Arab Emirates","Refugees (incl. refugee-like situations)",15
2002,Germany,Argentina,"Refugees (incl. refugee-like situations)",53
2002,Germany,Armenia,Asylum-seekers,360
2002,Germany,Armenia,"Refugees (incl. refugee-like situations)",4718
2002,Germany,Australia,"Refugees (incl. refugee-like situations)",9
2002,Germany,Austria,"Refugees (incl. refugee-like situations)",54
2002,Germany,Azerbaijan,Asylum-seekers,896
2002,Germany,Azerbaijan,"Refugees (incl. refugee-like situations)",7405
2002,Germany,Burundi,Asylum-seekers,37
2002,Germany,Burundi,"Refugees (incl. refugee-like situations)",246
2002,Germany,Belgium,"Refugees (incl. refugee-like situations)",16
2002,Germany,Benin,Asylum-seekers,9
2002,Germany,Benin,"Refugees (incl. refugee-like situations)",175
2002,Germany,"Burkina Faso",Asylum-seekers,31
2002,Germany,"Burkina Faso","Refugees (incl. refugee-like situations)",880
2002,Germany,Bangladesh,Asylum-seekers,103
2002,Germany,Bangladesh,"Refugees (incl. refugee-like situations)",579
2002,Germany,Bulgaria,Asylum-seekers,145
2002,Germany,Bulgaria,"Refugees (incl. refugee-like situations)",998
2002,Germany,Bahrain,"Refugees (incl. refugee-like situations)",5
2002,Germany,"Bosnia and Herzegovina",Asylum-seekers,592
2002,Germany,"Bosnia and Herzegovina","Refugees (incl. refugee-like situations)",40531
2002,Germany,"Bosnia and Herzegovina",Returnees,2183
2002,Germany,Belarus,Asylum-seekers,356
2002,Germany,Belarus,"Refugees (incl. refugee-like situations)",2449
2002,Germany,Belize,"Refugees (incl. refugee-like situations)",1
2002,Germany,"Bolivia (Plurinational State of)","Refugees (incl. refugee-like situations)",64
2002,Germany,Brazil,"Refugees (incl. refugee-like situations)",150
2002,Germany,Barbados,"Refugees (incl. refugee-like situations)",2
2002,Germany,"Brunei Darussalam","Refugees (incl. refugee-like situations)",1
2002,Germany,Bhutan,Asylum-seekers,26
2002,Germany,Bhutan,"Refugees (incl. refugee-like situations)",190
2002,Germany,Botswana,"Refugees (incl. refugee-like situations)",3
2002,Germany,"Central African Rep.",Asylum-seekers,4
2002,Germany,"Central African Rep.","Refugees (incl. refugee-like situations)",20
2002,Germany,Canada,"Refugees (incl. refugee-like situations)",47
2002,Germany,Switzerland,"Refugees (incl. refugee-like situations)",12
2002,Germany,Chile,Asylum-seekers,1
2002,Germany,Chile,"Refugees (incl. refugee-like situations)",1056
2002,Germany,China,Asylum-seekers,954
2002,Germany,China,"Refugees (incl. refugee-like situations)",6280
2002,Germany,"Côte d'Ivoire",Asylum-seekers,159
2002,Germany,"Côte d'Ivoire","Refugees (incl. refugee-like situations)",658
2002,Germany,Cameroon,Asylum-seekers,675
2002,Germany,Cameroon,"Refugees (incl. refugee-like situations)",1223
2002,Germany,"Dem. Rep. of the Congo",Asylum-seekers,1204
2002,Germany,"Dem. Rep. of the Congo","Refugees (incl. refugee-like situations)",7370
2002,Germany,Congo,Asylum-seekers,109
2002,Germany,Congo,"Refugees (incl. refugee-like situations)",796
2002,Germany,Colombia,Asylum-seekers,74
2002,Germany,Colombia,"Refugees (incl. refugee-like situations)",236
2002,Germany,Comoros,"Refugees (incl. refugee-like situations)",5
2002,Germany,"Cabo Verde","Refugees (incl. refugee-like situations)",5
2002,Germany,"Costa Rica","Refugees (incl. refugee-like situations)",7
2002,Germany,Cuba,Asylum-seekers,10
2002,Germany,Cuba,"Refugees (incl. refugee-like situations)",469
2002,Germany,Cyprus,Asylum-seekers,1
2002,Germany,Cyprus,"Refugees (incl. refugee-like situations)",2
2002,Germany,"Czech Rep.",Asylum-seekers,7
2002,Germany,"Czech Rep.","Refugees (incl. refugee-like situations)",5935
2002,Germany,Djibouti,Asylum-seekers,3
2002,Germany,Djibouti,"Refugees (incl. refugee-like situations)",7
2002,Germany,Denmark,"Refugees (incl. refugee-like situations)",6
2002,Germany,"Dominican Rep.","Refugees (incl. refugee-like situations)",46
2002,Germany,Algeria,Asylum-seekers,571
2002,Germany,Algeria,"Refugees (incl. refugee-like situations)",3794
2002,Germany,Ecuador,Asylum-seekers,5
2002,Germany,Ecuador,"Refugees (incl. refugee-like situations)",86
2002,Germany,Egypt,Asylum-seekers,65
2002,Germany,Egypt,"Refugees (incl. refugee-like situations)",1410
2002,Germany,Eritrea,Asylum-seekers,291
2002,Germany,Eritrea,"Refugees (incl. refugee-like situations)",2553
2002,Germany,Spain,Asylum-seekers,1
2002,Germany,Spain,"Refugees (incl. refugee-like situations)",40
2002,Germany,Estonia,Asylum-seekers,2
2002,Germany,Estonia,"Refugees (incl. refugee-like situations)",648
2002,Germany,Ethiopia,Asylum-seekers,379
2002,Germany,Ethiopia,"Refugees (incl. refugee-like situations)",8134
2002,Germany,Finland,"Refugees (incl. refugee-like situations)",8
2002,Germany,Fiji,Asylum-seekers,2
2002,Germany,Fiji,"Refugees (incl. refugee-like situations)",1
2002,Germany,France,"Refugees (incl. refugee-like situations)",59
2002,Germany,Gabon,Asylum-seekers,4
2002,Germany,Gabon,"Refugees (incl. refugee-like situations)",23
2002,Germany,"United Kingdom","Refugees (incl. refugee-like situations)",42
2002,Germany,Georgia,Asylum-seekers,516
2002,Germany,Georgia,"Refugees (incl. refugee-like situations)",2644
2002,Germany,Ghana,Asylum-seekers,67
2002,Germany,Ghana,"Refugees (incl. refugee-like situations)",1308
2002,Germany,Guinea,Asylum-seekers,139
2002,Germany,Guinea,"Refugees (incl. refugee-like situations)",703
2002,Germany,Gambia,Asylum-seekers,13
2002,Germany,Gambia,"Refugees (incl. refugee-like situations)",167
2002,Germany,Guinea-Bissau,Asylum-seekers,17
2002,Germany,Guinea-Bissau,"Refugees (incl. refugee-like situations)",56
2002,Germany,"Equatorial Guinea",Asylum-seekers,1
2002,Germany,"Equatorial Guinea","Refugees (incl. refugee-like situations)",65
2002,Germany,Greece,"Refugees (incl. refugee-like situations)",234
