"Extracted from the UNHCR Population Statistics Reference Database","United Nations High Commissioner for Refugees"
"Date extracted: 2016-02-05 19:16:42 +01:00"

Year,"Country / territory of asylum/residence",Origin,"Population type",Value
2011,Germany,Tajikistan,"Refugees (incl. refugee-like situations)",146
2011,Germany,Turkmenistan,Asylum-seekers,14
2011,Germany,Turkmenistan,"Refugees (incl. refugee-like situations)",200
2011,Germany,Tonga,"Refugees (incl. refugee-like situations)",1
2011,Germany,"Trinidad and Tobago","Refugees (incl. refugee-like situations)",2
2011,Germany,Tunisia,Asylum-seekers,286
2011,Germany,Tunisia,"Refugees (incl. refugee-like situations)",752
2011,Germany,Turkey,Asylum-seekers,2806
2011,Germany,Turkey,"Refugees (incl. refugee-like situations)",92968
2011,Germany,"United Rep. of Tanzania",Asylum-seekers,6
2011,Germany,"United Rep. of Tanzania","Refugees (incl. refugee-like situations)",30
2011,Germany,Uganda,Asylum-seekers,87
2011,Germany,Uganda,"Refugees (incl. refugee-like situations)",258
2011,Germany,Ukraine,Asylum-seekers,70
2011,Germany,Ukraine,"Refugees (incl. refugee-like situations)",19922
2011,Germany,Uruguay,"Refugees (incl. refugee-like situations)",9
2011,Germany,"United States of America",Asylum-seekers,5
2011,Germany,"United States of America","Refugees (incl. refugee-like situations)",346
2011,Germany,Uzbekistan,Asylum-seekers,41
2011,Germany,Uzbekistan,"Refugees (incl. refugee-like situations)",2191
2011,Germany,"Saint Vincent and the Grenadines","Refugees (incl. refugee-like situations)",1
2011,Germany,"Venezuela (Bolivarian Republic of)",Asylum-seekers,6
2011,Germany,"Venezuela (Bolivarian Republic of)","Refugees (incl. refugee-like situations)",24
2011,Germany,"Viet Nam",Asylum-seekers,570
2011,Germany,"Viet Nam","Refugees (incl. refugee-like situations)",24261
2011,Germany,Stateless,Asylum-seekers,391
2011,Germany,Stateless,"Refugees (incl. refugee-like situations)",5010
2011,Germany,Various/Unknown,Asylum-seekers,1697
2011,Germany,Various/Unknown,"Refugees (incl. refugee-like situations)",12934
2011,Germany,Yemen,Asylum-seekers,67
2011,Germany,Yemen,"Refugees (incl. refugee-like situations)",402
2011,Germany,"South Africa",Asylum-seekers,4
2011,Germany,"South Africa","Refugees (incl. refugee-like situations)",46
2011,Germany,Zambia,Asylum-seekers,2
2011,Germany,Zambia,"Refugees (incl. refugee-like situations)",13
2011,Germany,Zimbabwe,Asylum-seekers,44
2011,Germany,Zimbabwe,"Refugees (incl. refugee-like situations)",56
2012,Germany,Afghanistan,Asylum-seekers,14357
2012,Germany,Afghanistan,"Refugees (incl. refugee-like situations)",31746
2012,Germany,Angola,Asylum-seekers,189
2012,Germany,Angola,"Refugees (incl. refugee-like situations)",3041
2012,Germany,Albania,Asylum-seekers,231
2012,Germany,Albania,"Refugees (incl. refugee-like situations)",2201
2012,Germany,"United Arab Emirates",Asylum-seekers,2
2012,Germany,"United Arab Emirates","Refugees (incl. refugee-like situations)",510
2012,Germany,Argentina,"Refugees (incl. refugee-like situations)",38
2012,Germany,Armenia,Asylum-seekers,957
2012,Germany,Armenia,"Refugees (incl. refugee-like situations)",4419
2012,Germany,"Antigua and Barbuda","Refugees (incl. refugee-like situations)",1
2012,Germany,Australia,Asylum-seekers,0
2012,Germany,Australia,"Refugees (incl. refugee-like situations)",36
2012,Germany,Austria,Asylum-seekers,1
2012,Germany,Austria,"Refugees (incl. refugee-like situations)",4
2012,Germany,Azerbaijan,Asylum-seekers,1337
2012,Germany,Azerbaijan,"Refugees (incl. refugee-like situations)",6575
2012,Germany,Burundi,Asylum-seekers,16
2012,Germany,Burundi,"Refugees (incl. refugee-like situations)",105
2012,Germany,Belgium,Asylum-seekers,0
2012,Germany,Belgium,"Refugees (incl. refugee-like situations)",7
2012,Germany,Benin,Asylum-seekers,144
2012,Germany,Benin,"Refugees (incl. refugee-like situations)",183
2012,Germany,"Burkina Faso",Asylum-seekers,133
2012,Germany,"Burkina Faso","Refugees (incl. refugee-like situations)",197
2012,Germany,Bangladesh,Asylum-seekers,346
2012,Germany,Bangladesh,"Refugees (incl. refugee-like situations)",913
2012,Germany,Bulgaria,Asylum-seekers,24
2012,Germany,Bulgaria,"Refugees (incl. refugee-like situations)",181
2012,Germany,Bahrain,Asylum-seekers,1
2012,Germany,Bahrain,"Refugees (incl. refugee-like situations)",49
2012,Germany,"Bosnia and Herzegovina",Asylum-seekers,1671
2012,Germany,"Bosnia and Herzegovina","Refugees (incl. refugee-like situations)",23460
2012,Germany,"Bosnia and Herzegovina",Returnees,65
2012,Germany,Belarus,Asylum-seekers,104
2012,Germany,Belarus,"Refugees (incl. refugee-like situations)",1989
2012,Germany,Belize,"Refugees (incl. refugee-like situations)",1
2012,Germany,"Bolivia (Plurinational State of)",Asylum-seekers,1
2012,Germany,"Bolivia (Plurinational State of)","Refugees (incl. refugee-like situations)",26
2012,Germany,Brazil,Asylum-seekers,4
2012,Germany,Brazil,"Refugees (incl. refugee-like situations)",163
2012,Germany,Barbados,"Refugees (incl. refugee-like situations)",2
2012,Germany,Bhutan,Asylum-seekers,12
2012,Germany,Bhutan,"Refugees (incl. refugee-like situations)",74
2012,Germany,Botswana,Asylum-seekers,5
2012,Germany,Botswana,"Refugees (incl. refugee-like situations)",1
2012,Germany,"Central African Rep.",Asylum-seekers,1
2012,Germany,"Central African Rep.","Refugees (incl. refugee-like situations)",12
2012,Germany,Canada,"Refugees (incl. refugee-like situations)",53
2012,Germany,Switzerland,"Refugees (incl. refugee-like situations)",4
2012,Germany,Chile,Asylum-seekers,1
2012,Germany,Chile,"Refugees (incl. refugee-like situations)",396
2012,Germany,China,Asylum-seekers,526
2012,Germany,China,"Refugees (incl. refugee-like situations)",3815
2012,Germany,"Côte d'Ivoire",Asylum-seekers,196
2012,Germany,"Côte d'Ivoire","Refugees (incl. refugee-like situations)",491
2012,Germany,Cameroon,Asylum-seekers,385
2012,Germany,Cameroon,"Refugees (incl. refugee-like situations)",1244
2012,Germany,"Dem. Rep. of the Congo",Asylum-seekers,473
2012,Germany,"Dem. Rep. of the Congo","Refugees (incl. refugee-like situations)",5206
2012,Germany,Congo,Asylum-seekers,59
2012,Germany,Congo,"Refugees (incl. refugee-like situations)",518
2012,Germany,Colombia,Asylum-seekers,61
2012,Germany,Colombia,"Refugees (incl. refugee-like situations)",241
2012,Germany,Comoros,"Refugees (incl. refugee-like situations)",11
2012,Germany,"Cabo Verde",Asylum-seekers,1
2012,Germany,"Cabo Verde","Refugees (incl. refugee-like situations)",4
2012,Germany,"Costa Rica",Asylum-seekers,0
2012,Germany,"Costa Rica","Refugees (incl. refugee-like situations)",12
2012,Germany,Cuba,Asylum-seekers,36
2012,Germany,Cuba,"Refugees (incl. refugee-like situations)",364
2012,Germany,Cyprus,"Refugees (incl. refugee-like situations)",1
2012,Germany,"Czech Rep.",Asylum-seekers,2
2012,Germany,"Czech Rep.","Refugees (incl. refugee-like situations)",165
2012,Germany,Germany,Stateless,5683
2012,Germany,Djibouti,Asylum-seekers,2
2012,Germany,Djibouti,"Refugees (incl. refugee-like situations)",4
2012,Germany,"Dominican Rep.",Asylum-seekers,1
2012,Germany,"Dominican Rep.","Refugees (incl. refugee-like situations)",42
2012,Germany,Algeria,Asylum-seekers,538
2012,Germany,Algeria,"Refugees (incl. refugee-like situations)",2198
2012,Germany,Ecuador,Asylum-seekers,2
2012,Germany,Ecuador,"Refugees (incl. refugee-like situations)",133
2012,Germany,Egypt,Asylum-seekers,373
2012,Germany,Egypt,"Refugees (incl. refugee-like situations)",860
2012,Germany,Eritrea,Asylum-seekers,1018
2012,Germany,Eritrea,"Refugees (incl. refugee-like situations)",4836
2012,Germany,Spain,Asylum-seekers,5
2012,Germany,Spain,"Refugees (incl. refugee-like situations)",10
2012,Germany,Estonia,Asylum-seekers,0
2012,Germany,Estonia,"Refugees (incl. refugee-like situations)",78
2012,Germany,Ethiopia,Asylum-seekers,851
2012,Germany,Ethiopia,"Refugees (incl. refugee-like situations)",4538
2012,Germany,France,Asylum-seekers,2
2012,Germany,France,"Refugees (incl. refugee-like situations)",7
2012,Germany,Gabon,Asylum-seekers,7
2012,Germany,Gabon,"Refugees (incl. refugee-like situations)",11
2012,Germany,"United Kingdom",Asylum-seekers,3
2012,Germany,"United Kingdom","Refugees (incl. refugee-like situations)",7
2012,Germany,Georgia,Asylum-seekers,1163
2012,Germany,Georgia,"Refugees (incl. refugee-like situations)",2202
2012,Germany,Ghana,Asylum-seekers,591
2012,Germany,Ghana,"Refugees (incl. refugee-like situations)",4323
2012,Germany,Guinea,Asylum-seekers,668
2012,Germany,Guinea,"Refugees (incl. refugee-like situations)",756
2012,Germany,Gambia,Asylum-seekers,350
2012,Germany,Gambia,"Refugees (incl. refugee-like situations)",502
2012,Germany,Guinea-Bissau,Asylum-seekers,73
2012,Germany,Guinea-Bissau,"Refugees (incl. refugee-like situations)",39
2012,Germany,"Equatorial Guinea",Asylum-seekers,7
2012,Germany,"Equatorial Guinea","Refugees (incl. refugee-like situations)",26
2012,Germany,Greece,Asylum-seekers,1
2012,Germany,Greece,"Refugees (incl. refugee-like situations)",4
2012,Germany,Guatemala,Asylum-seekers,9
2012,Germany,Guatemala,"Refugees (incl. refugee-like situations)",6
2012,Germany,Guyana,"Refugees (incl. refugee-like situations)",1
2012,Germany,Honduras,Asylum-seekers,7
2012,Germany,Honduras,"Refugees (incl. refugee-like situations)",24
2012,Germany,Croatia,Asylum-seekers,42
2012,Germany,Croatia,"Refugees (incl. refugee-like situations)",4614
2012,Germany,Haiti,Asylum-seekers,15
2012,Germany,Haiti,"Refugees (incl. refugee-like situations)",45
2012,Germany,Hungary,Asylum-seekers,1
2012,Germany,Hungary,"Refugees (incl. refugee-like situations)",121
2012,Germany,Indonesia,Asylum-seekers,3
2012,Germany,Indonesia,"Refugees (incl. refugee-like situations)",130
2012,Germany,India,Asylum-seekers,739
2012,Germany,India,"Refugees (incl. refugee-like situations)",2796
2012,Germany,Ireland,Asylum-seekers,0
2012,Germany,"Iran (Islamic Rep. of)",Asylum-seekers,6618
2012,Germany,"Iran (Islamic Rep. of)","Refugees (incl. refugee-like situations)",21629
2012,Germany,Iraq,Asylum-seekers,6302
2012,Germany,Iraq,"Refugees (incl. refugee-like situations)",49829
2012,Germany,Iraq,Returnees,955
2012,Germany,Iceland,"Refugees (incl. refugee-like situations)",1
2012,Germany,Israel,Asylum-seekers,28
2012,Germany,Israel,"Refugees (incl. refugee-like situations)",325
2012,Germany,Italy,Asylum-seekers,2
2012,Germany,Italy,"Refugees (incl. refugee-like situations)",11
2012,Germany,Jamaica,Asylum-seekers,18
2012,Germany,Jamaica,"Refugees (incl. refugee-like situations)",13
2012,Germany,Jordan,Asylum-seekers,46
2012,Germany,Jordan,"Refugees (incl. refugee-like situations)",847
2012,Germany,Japan,Asylum-seekers,1
2012,Germany,Japan,"Refugees (incl. refugee-like situations)",136
2012,Germany,Kazakhstan,Asylum-seekers,73
2012,Germany,Kazakhstan,"Refugees (incl. refugee-like situations)",1627
2012,Germany,Kenya,Asylum-seekers,273
2012,Germany,Kenya,"Refugees (incl. refugee-like situations)",365
2012,Germany,Kyrgyzstan,Asylum-seekers,112
2012,Germany,Kyrgyzstan,"Refugees (incl. refugee-like situations)",1509
2012,Germany,Cambodia,Asylum-seekers,20
2012,Germany,Cambodia,"Refugees (incl. refugee-like situations)",164
2012,Germany,"Rep. of Korea",Asylum-seekers,2
2012,Germany,"Rep. of Korea","Refugees (incl. refugee-like situations)",187
2012,Germany,Kuwait,Asylum-seekers,3
2012,Germany,Kuwait,"Refugees (incl. refugee-like situations)",267
2012,Germany,"Lao People's Dem. Rep.","Refugees (incl. refugee-like situations)",174
2012,Germany,Lebanon,Asylum-seekers,657
2012,Germany,Lebanon,"Refugees (incl. refugee-like situations)",11819
2012,Germany,Liberia,Asylum-seekers,50
2012,Germany,Liberia,"Refugees (incl. refugee-like situations)",284
2012,Germany,Libya,Asylum-seekers,249
2012,Germany,Libya,"Refugees (incl. refugee-like situations)",2280
2012,Germany,"Sri Lanka",Asylum-seekers,994
2012,Germany,"Sri Lanka","Refugees (incl. refugee-like situations)",11672
2012,Germany,Lesotho,"Refugees (incl. refugee-like situations)",1
2012,Germany,Lithuania,Asylum-seekers,4
2012,Germany,Lithuania,"Refugees (incl. refugee-like situations)",244
2012,Germany,Luxembourg,Asylum-seekers,0
2012,Germany,Latvia,Asylum-seekers,5
2012,Germany,Latvia,"Refugees (incl. refugee-like situations)",414
2012,Germany,Morocco,Asylum-seekers,421
2012,Germany,Morocco,"Refugees (incl. refugee-like situations)",1454
2012,Germany,Monaco,"Refugees (incl. refugee-like situations)",1
2012,Germany,"Rep. of Moldova",Asylum-seekers,35
2012,Germany,"Rep. of Moldova","Refugees (incl. refugee-like situations)",3988
2012,Germany,Madagascar,Asylum-seekers,2
2012,Germany,Madagascar,"Refugees (incl. refugee-like situations)",13
2012,Germany,Maldives,"Refugees (incl. refugee-like situations)",2
2012,Germany,Mexico,Asylum-seekers,10
2012,Germany,Mexico,"Refugees (incl. refugee-like situations)",42
2012,Germany,"The former Yugoslav Republic of Macedonia",Asylum-seekers,3800
2012,Germany,"The former Yugoslav Republic of Macedonia","Refugees (incl. refugee-like situations)",6175
2012,Germany,Mali,Asylum-seekers,201
2012,Germany,Mali,"Refugees (incl. refugee-like situations)",86
2012,Germany,Myanmar,Asylum-seekers,109
2012,Germany,Myanmar,"Refugees (incl. refugee-like situations)",813
2012,Germany,Montenegro,Asylum-seekers,267
2012,Germany,Montenegro,"Refugees (incl. refugee-like situations)",3762
2012,Germany,Mongolia,Asylum-seekers,57
2012,Germany,Mongolia,"Refugees (incl. refugee-like situations)",215
2012,Germany,Mozambique,Asylum-seekers,3
2012,Germany,Mozambique,"Refugees (incl. refugee-like situations)",109
2012,Germany,Mauritania,Asylum-seekers,21
2012,Germany,Mauritania,"Refugees (incl. refugee-like situations)",49
2012,Germany,Mauritius,Asylum-seekers,1
2012,Germany,Mauritius,"Refugees (incl. refugee-like situations)",1
2012,Germany,Malawi,Asylum-seekers,4
2012,Germany,Malawi,"Refugees (incl. refugee-like situations)",4
2012,Germany,Malaysia,Asylum-seekers,1
2012,Germany,Malaysia,"Refugees (incl. refugee-like situations)",33
2012,Germany,Namibia,Asylum-seekers,2
2012,Germany,Namibia,"Refugees (incl. refugee-like situations)",10
2012,Germany,Niger,Asylum-seekers,54
2012,Germany,Niger,"Refugees (incl. refugee-like situations)",212
2012,Germany,Nigeria,Asylum-seekers,1542
2012,Germany,Nigeria,"Refugees (incl. refugee-like situations)",2833
2012,Germany,Nicaragua,Asylum-seekers,0
2012,Germany,Nicaragua,"Refugees (incl. refugee-like situations)",5
2012,Germany,Netherlands,Asylum-seekers,4
2012,Germany,Netherlands,"Refugees (incl. refugee-like situations)",13
2012,Germany,Norway,"Refugees (incl. refugee-like situations)",2
2012,Germany,Nepal,Asylum-seekers,47
2012,Germany,Nepal,"Refugees (incl. refugee-like situations)",349
2012,Germany,"New Zealand","Refugees (incl. refugee-like situations)",14
2012,Germany,Oman,"Refugees (incl. refugee-like situations)",45
2012,Germany,Pakistan,Asylum-seekers,5436
2012,Germany,Pakistan,"Refugees (incl. refugee-like situations)",6943
2012,Germany,Panama,"Refugees (incl. refugee-like situations)",4
2012,Germany,Peru,Asylum-seekers,5
2012,Germany,Peru,"Refugees (incl. refugee-like situations)",195
2012,Germany,Philippines,Asylum-seekers,4
2012,Germany,Philippines,"Refugees (incl. refugee-like situations)",249
2012,Germany,Poland,Asylum-seekers,4
2012,Germany,Poland,"Refugees (incl. refugee-like situations)",737
2012,Germany,"Dem. People's Rep. of Korea",Asylum-seekers,13
2012,Germany,"Dem. People's Rep. of Korea","Refugees (incl. refugee-like situations)",138
2012,Germany,Portugal,Asylum-seekers,1
2012,Germany,Portugal,"Refugees (incl. refugee-like situations)",3
2012,Germany,Paraguay,"Refugees (incl. refugee-like situations)",8
2012,Germany,Qatar,"Refugees (incl. refugee-like situations)",109
2012,Germany,Romania,Asylum-seekers,13
2012,Germany,Romania,"Refugees (incl. refugee-like situations)",492
2012,Germany,"Russian Federation",Asylum-seekers,4668
2012,Germany,"Russian Federation","Refugees (incl. refugee-like situations)",40204
2012,Germany,Rwanda,Asylum-seekers,61
2012,Germany,Rwanda,"Refugees (incl. refugee-like situations)",217
2012,Germany,"Saudi Arabia",Asylum-seekers,5
2012,Germany,"Saudi Arabia","Refugees (incl. refugee-like situations)",394
2012,Germany,Sudan,Asylum-seekers,267
2012,Germany,Sudan,"Refugees (incl. refugee-like situations)",575
2012,Germany,Senegal,Asylum-seekers,129
2012,Germany,Senegal,"Refugees (incl. refugee-like situations)",154
2012,Germany,Singapore,"Refugees (incl. refugee-like situations)",9
2012,Germany,"Sierra Leone",Asylum-seekers,200
2012,Germany,"Sierra Leone","Refugees (incl. refugee-like situations)",749
2012,Germany,"El Salvador",Asylum-seekers,2
2012,Germany,"El Salvador","Refugees (incl. refugee-like situations)",19
2012,Germany,Somalia,Asylum-seekers,1972
2012,Germany,Somalia,"Refugees (incl. refugee-like situations)",3634
2012,Germany,"Serbia and Kosovo (S/RES/1244 (1999))",Asylum-seekers,10620
2012,Germany,"Serbia and Kosovo (S/RES/1244 (1999))","Refugees (incl. refugee-like situations)",113809
2012,Germany,"South Sudan",Asylum-seekers,22
2012,Germany,"South Sudan","Refugees (incl. refugee-like situations)",6
2012,Germany,Suriname,"Refugees (incl. refugee-like situations)",1
2012,Germany,Slovakia,Asylum-seekers,7
2012,Germany,Slovakia,"Refugees (incl. refugee-like situations)",27
2012,Germany,Slovenia,"Refugees (incl. refugee-like situations)",12
2012,Germany,Sweden,"Refugees (incl. refugee-like situations)",3
2012,Germany,Seychelles,Asylum-seekers,1
2012,Germany,Seychelles,"Refugees (incl. refugee-like situations)",3
2012,Germany,"Syrian Arab Rep.",Asylum-seekers,5986
2012,Germany,"Syrian Arab Rep.","Refugees (incl. refugee-like situations)",18165
2012,Germany,Chad,Asylum-seekers,64
2012,Germany,Chad,"Refugees (incl. refugee-like situations)",44
2012,Germany,Togo,Asylum-seekers,162
2012,Germany,Togo,"Refugees (incl. refugee-like situations)",3905
2012,Germany,Thailand,Asylum-seekers,2
2012,Germany,Thailand,"Refugees (incl. refugee-like situations)",210
2012,Germany,Tajikistan,Asylum-seekers,126
2012,Germany,Tajikistan,"Refugees (incl. refugee-like situations)",146
2012,Germany,Turkmenistan,Asylum-seekers,31
2012,Germany,Turkmenistan,"Refugees (incl. refugee-like situations)",195
2012,Germany,"Trinidad and Tobago","Refugees (incl. refugee-like situations)",3
2012,Germany,Tunisia,Asylum-seekers,329
2012,Germany,Tunisia,"Refugees (incl. refugee-like situations)",747
2012,Germany,Turkey,Asylum-seekers,2723
2012,Germany,Turkey,"Refugees (incl. refugee-like situations)",90773
2012,Germany,"United Rep. of Tanzania",Asylum-seekers,6
2012,Germany,"United Rep. of Tanzania","Refugees (incl. refugee-like situations)",33
2012,Germany,Uganda,Asylum-seekers,108
2012,Germany,Uganda,"Refugees (incl. refugee-like situations)",272
2012,Germany,Ukraine,Asylum-seekers,157
2012,Germany,Ukraine,"Refugees (incl. refugee-like situations)",20059
2012,Germany,Uruguay,"Refugees (incl. refugee-like situations)",9
2012,Germany,"United States of America",Asylum-seekers,5
2012,Germany,"United States of America","Refugees (incl. refugee-like situations)",350
2012,Germany,Uzbekistan,Asylum-seekers,57
2012,Germany,Uzbekistan,"Refugees (incl. refugee-like situations)",2200
2012,Germany,"Saint Vincent and the Grenadines","Refugees (incl. refugee-like situations)",1
2012,Germany,"Venezuela (Bolivarian Republic of)",Asylum-seekers,8
2012,Germany,"Venezuela (Bolivarian Republic of)","Refugees (incl. refugee-like situations)",30
2012,Germany,"Viet Nam",Asylum-seekers,586
2012,Germany,"Viet Nam","Refugees (incl. refugee-like situations)",23799
2012,Germany,Stateless,Asylum-seekers,324
2012,Germany,Stateless,"Refugees (incl. refugee-like situations)",5359
2012,Germany,Various/Unknown,Asylum-seekers,1560
2012,Germany,Various/Unknown,"Refugees (incl. refugee-like situations)",13338
2012,Germany,Yemen,Asylum-seekers,69
2012,Germany,Yemen,"Refugees (incl. refugee-like situations)",481
2012,Germany,"South Africa",Asylum-seekers,2
2012,Germany,"South Africa","Refugees (incl. refugee-like situations)",49
2012,Germany,Zambia,Asylum-seekers,2
2012,Germany,Zambia,"Refugees (incl. refugee-like situations)",16
2012,Germany,Zimbabwe,Asylum-seekers,38
2012,Germany,Zimbabwe,"Refugees (incl. refugee-like situations)",59
2013,Germany,Afghanistan,Asylum-seekers,16148
2013,Germany,Afghanistan,"Refugees (incl. refugee-like situations)",24203
2013,Germany,Angola,Asylum-seekers,212
2013,Germany,Angola,"Refugees (incl. refugee-like situations)",850
2013,Germany,Albania,Asylum-seekers,1266
2013,Germany,Albania,"Refugees (incl. refugee-like situations)",296
2013,Germany,"United Arab Emirates",Asylum-seekers,1
2013,Germany,"United Arab Emirates","Refugees (incl. refugee-like situations)",1
2013,Germany,Argentina,Asylum-seekers,2
2013,Germany,Argentina,"Refugees (incl. refugee-like situations)",16
2013,Germany,Armenia,Asylum-seekers,1832
2013,Germany,Armenia,"Refugees (incl. refugee-like situations)",1022
2013,Germany,Australia,Asylum-seekers,2
2013,Germany,Australia,"Refugees (incl. refugee-like situations)",16
2013,Germany,Austria,Asylum-seekers,1
2013,Germany,Austria,"Refugees (incl. refugee-like situations)",2
2013,Germany,Azerbaijan,Asylum-seekers,1814
2013,Germany,Azerbaijan,"Refugees (incl. refugee-like situations)",2082
2013,Germany,Burundi,Asylum-seekers,19
2013,Germany,Burundi,"Refugees (incl. refugee-like situations)",72
2013,Germany,Belgium,Asylum-seekers,1
2013,Germany,Belgium,"Refugees (incl. refugee-like situations)",5
2013,Germany,Benin,Asylum-seekers,211
2013,Germany,Benin,"Refugees (incl. refugee-like situations)",24
2013,Germany,"Burkina Faso",Asylum-seekers,244
2013,Germany,"Burkina Faso","Refugees (incl. refugee-like situations)",38
2013,Germany,Bangladesh,Asylum-seekers,839
2013,Germany,Bangladesh,"Refugees (incl. refugee-like situations)",118
2013,Germany,Bulgaria,Asylum-seekers,28
2013,Germany,Bulgaria,"Refugees (incl. refugee-like situations)",94
2013,Germany,Bahrain,Asylum-seekers,13
2013,Germany,Bahrain,"Refugees (incl. refugee-like situations)",4
2013,Germany,Bahamas,Asylum-seekers,0
2013,Germany,Bahamas,"Refugees (incl. refugee-like situations)",1
2013,Germany,"Bosnia and Herzegovina",Asylum-seekers,3147
2013,Germany,"Bosnia and Herzegovina","Refugees (incl. refugee-like situations)",1344
2013,Germany,"Bosnia and Herzegovina",Returnees,20
2013,Germany,Belarus,Asylum-seekers,114
2013,Germany,Belarus,"Refugees (incl. refugee-like situations)",155
2013,Germany,"Bolivia (Plurinational State of)",Asylum-seekers,1
2013,Germany,"Bolivia (Plurinational State of)","Refugees (incl. refugee-like situations)",7
2013,Germany,Brazil,Asylum-seekers,10
2013,Germany,Brazil,"Refugees (incl. refugee-like situations)",66
2013,Germany,Barbados,"Refugees (incl. refugee-like situations)",1
2013,Germany,Bhutan,Asylum-seekers,18
2013,Germany,Bhutan,"Refugees (incl. refugee-like situations)",31
2013,Germany,Botswana,Asylum-seekers,5
2013,Germany,Botswana,"Refugees (incl. refugee-like situations)",1
2013,Germany,"Central African Rep.",Asylum-seekers,10
2013,Germany,Canada,Asylum-seekers,2
2013,Germany,Canada,"Refugees (incl. refugee-like situations)",34
2013,Germany,Chile,Asylum-seekers,1
2013,Germany,Chile,"Refugees (incl. refugee-like situations)",196
2013,Germany,China,Asylum-seekers,663
2013,Germany,China,"Refugees (incl. refugee-like situations)",1490
2013,Germany,"Côte d'Ivoire",Asylum-seekers,364
2013,Germany,"Côte d'Ivoire","Refugees (incl. refugee-like situations)",185
2013,Germany,Cameroon,Asylum-seekers,623
2013,Germany,Cameroon,"Refugees (incl. refugee-like situations)",528
2013,Germany,"Dem. Rep. of the Congo",Asylum-seekers,584
2013,Germany,"Dem. Rep. of the Congo","Refugees (incl. refugee-like situations)",1672
2013,Germany,Congo,Asylum-seekers,95
2013,Germany,Congo,"Refugees (incl. refugee-like situations)",194
2013,Germany,Colombia,Asylum-seekers,56
2013,Germany,Colombia,"Refugees (incl. refugee-like situations)",70
2013,Germany,Comoros,Asylum-seekers,0
2013,Germany,Comoros,"Refugees (incl. refugee-like situations)",1
2013,Germany,"Cabo Verde",Asylum-seekers,1
2013,Germany,"Cabo Verde","Refugees (incl. refugee-like situations)",2
2013,Germany,"Costa Rica","Refugees (incl. refugee-like situations)",3
2013,Germany,Cuba,Asylum-seekers,72
2013,Germany,Cuba,"Refugees (incl. refugee-like situations)",126
2013,Germany,"Czech Rep.",Asylum-seekers,7
2013,Germany,"Czech Rep.","Refugees (incl. refugee-like situations)",510
2013,Germany,Germany,Stateless,11709
2013,Germany,Djibouti,Asylum-seekers,7
2013,Germany,Djibouti,"Refugees (incl. refugee-like situations)",2
2013,Germany,Denmark,Asylum-seekers,0
2013,Germany,"Dominican Rep.",Asylum-seekers,4
2013,Germany,"Dominican Rep.","Refugees (incl. refugee-like situations)",19
2013,Germany,Algeria,Asylum-seekers,1150
2013,Germany,Algeria,"Refugees (incl. refugee-like situations)",307
2013,Germany,Ecuador,Asylum-seekers,1
2013,Germany,Ecuador,"Refugees (incl. refugee-like situations)",22
2013,Germany,Egypt,Asylum-seekers,2259
2013,Germany,Egypt,"Refugees (incl. refugee-like situations)",266
2013,Germany,Eritrea,Asylum-seekers,4101
2013,Germany,Eritrea,"Refugees (incl. refugee-like situations)",3984
2013,Germany,Spain,Asylum-seekers,13
2013,Germany,Spain,"Refugees (incl. refugee-like situations)",12
2013,Germany,Estonia,Asylum-seekers,3
2013,Germany,Estonia,"Refugees (incl. refugee-like situations)",2
2013,Germany,Ethiopia,Asylum-seekers,1290
2013,Germany,Ethiopia,"Refugees (incl. refugee-like situations)",2639
2013,Germany,Finland,Asylum-seekers,1
2013,Germany,France,Asylum-seekers,2
2013,Germany,France,"Refugees (incl. refugee-like situations)",15
2013,Germany,Gabon,Asylum-seekers,9
2013,Germany,Gabon,"Refugees (incl. refugee-like situations)",2
2013,Germany,"United Kingdom",Asylum-seekers,2
2013,Germany,"United Kingdom","Refugees (incl. refugee-like situations)",8
2013,Germany,Georgia,Asylum-seekers,2449
2013,Germany,Georgia,"Refugees (incl. refugee-like situations)",333
2013,Germany,Ghana,Asylum-seekers,1038
2013,Germany,Ghana,"Refugees (incl. refugee-like situations)",236
2013,Germany,Guinea,Asylum-seekers,1627
2013,Germany,Guinea,"Refugees (incl. refugee-like situations)",472
2013,Germany,Gambia,Asylum-seekers,869
2013,Germany,Gambia,"Refugees (incl. refugee-like situations)",126
2013,Germany,Guinea-Bissau,Asylum-seekers,227
2013,Germany,Guinea-Bissau,"Refugees (incl. refugee-like situations)",17
2013,Germany,"Equatorial Guinea",Asylum-seekers,1
2013,Germany,"Equatorial Guinea","Refugees (incl. refugee-like situations)",15
2013,Germany,Greece,Asylum-seekers,3
2013,Germany,Greece,"Refugees (incl. refugee-like situations)",46
2013,Germany,Guatemala,Asylum-seekers,8
2013,Germany,Guatemala,"Refugees (incl. refugee-like situations)",3
2013,Germany,Honduras,Asylum-seekers,6
2013,Germany,Honduras,"Refugees (incl. refugee-like situations)",8
2013,Germany,Croatia,Asylum-seekers,33
2013,Germany,Croatia,"Refugees (incl. refugee-like situations)",359
2013,Germany,Haiti,Asylum-seekers,12
2013,Germany,Haiti,"Refugees (incl. refugee-like situations)",15
2013,Germany,Hungary,Asylum-seekers,11
2013,Germany,Hungary,"Refugees (incl. refugee-like situations)",308
2013,Germany,Indonesia,Asylum-seekers,5
2013,Germany,Indonesia,"Refugees (incl. refugee-like situations)",28
